task,winner_candidate,candidate_budget,screening_speedup,confirmation_speedup,selection_optimism_log,screening_above_margin,confirmation_above_margin,label,confirmation_processes,confirmation_blocks,per_process_speedups
bias_gelu,delay_10,8,1.0270505621756634,1.0000769721736023,0.026614193410821285,True,False,SCREEN_ONLY_WIN,7,140,0.993277600;1.025923153;1.000076972;0.997759224;1.027105230;1.011735954;0.994208583
bias_relu,delay_07,8,1.0369153869132564,1.0208229720256086,0.015641194514785895,True,True,CONFIRMED_WIN,7,140,1.046014629;1.032317604;1.051766734;1.016164766;1.016670251;1.020822972;1.012360281
residual_add_relu,delay_06,8,1.0187561875067632,1.0199236513926693,-0.0011453137380845121,False,False,BELOW_MARGIN,7,140,1.020312394;1.018289893;1.020838543;1.019923651;1.020722878;1.017601356;1.018190556
rmsnorm_small,delay_06,8,1.0214367433951455,1.0341758833470642,-0.012394653424371488,True,True,CONFIRMED_WIN,7,140,1.050909650;1.024373724;1.017056798;1.034175883;1.050576203;1.016519103;1.051085535
