task,best_single_run_speedup_vs_eager,repeat_median_speedup_vs_eager,uncertainty,above_eager_stable,above_torch_compile,timing_source,run_dir
bias_relu,1.029,0.976,not preserved,no,yes,rigorous_cuda_event,runs/20260520_155839
sigmoid,0.998,0.934,not preserved,no,yes,rigorous_cuda_event,runs/20260520_155839
add_relu,0.947,0.938,not preserved,no,yes,rigorous_cuda_event,runs/20260520_155839
residual,1.140,1.023,not preserved,yes,yes,rigorous_cuda_event,runs/20260520_155839
bias_gelu,1.473,1.485,not preserved,yes,yes,rigorous_cuda_event,runs/20260520_155839
row_sum,0.790,0.674,not preserved,no,yes,rigorous_cuda_event,runs/20260520_155839
layernorm,0.843,0.791,not preserved,no,yes,rigorous_cuda_event,runs/20260520_155839
rmsnorm,1.674,1.452,not preserved,yes,yes,rigorous_cuda_event,runs/20260520_155839
