baseline,candidates,verified,median_speedup_vs_eager,median_speedup_vs_compile,uncertainty,repeat_stable_wins,conclusion
template,160,160/160,0.945,1.079,not preserved,"residual, bias_gelu, rmsnorm",strongest overall floor
Gemini,24,23/24,0.923,1.863,not preserved,"bias_gelu, rmsnorm",strongest model correctness; stable wins below deterministic template medians
OpenAI mini,24,12/24,0.888,1.835,not preserved,residual,weaker correctness; one stable win over deterministic template repeat median
legacy model rows,various,various,legacy,legacy,legacy,legacy timing,historical context only; not primary paper-facing comparison
